Slot,Slug,Statut,Faction,Rareté,Type,Coût,ATQ,INT,CELL,Effet,Synchro (coût),Synchro (effet),Flavor,Full art,Zone,Rôle,Fichier attendu,Prompt Midjourney
K06,nettoyeuse,À générer,KAIROS,Standard,Traveler,4,,,,,,,,Non,—,dégâts ciblés,nettoyeuse.png,"cold professional woman in a tailored coat walking away from a hotel entrance through light rain, steel case in hand, neon reds and cyans smearing in the wet street around her unhurried stride, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, blood, text, watermark"
K07,cadre-corrompu,À générer,KAIROS,Standard,Traveler,5,,,,,,,,Non,—,milieu,cadre-corrompu.png,"executive signing documents at a boardroom table in golden hour light high above tokyo, his fountain pen scratching, a faint red emergency glow from the city reflected in the glass behind him, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, text, watermark"
K08,chantage,À générer,KAIROS,Standard,Protocole,1,,,,,,,,Non,—,cantrip info,chantage.png,"close-up of a gloved hand passing a red-sealed dossier between seats of a moving maglev train, countryside smearing past the window in morning light, the other hand hesitating, league of legends splash art, highly detailed, cinematic lighting --no fantasy magic, text, watermark"
K09,sabotage-de-plateforme,À générer,KAIROS,Standard,Protocole,3,,,,,,,,Non,—,removal,sabotage-de-plateforme.png,"silhouette walking calmly toward the viewer as a transfer platform erupts in blue sparks and dying light behind, red strobes sweeping the smoke, shards raining, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no explosion fireball, text, watermark"
K10,brouilleuse,À générer,KAIROS,Rare,Traveler,2,,,,,,,,Non,—,anti-Synchro,brouilleuse.png,"female kairos operative crouched on the roof of a speeding maglev at night deploying a red pulse emitter, the interference wave rippling backward along the train as blue window lights die car by car, wind tearing at her coat, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
K11,duelliste-cell-tempest,À générer,KAIROS,Rare,Traveler,3,,,,,,,,Non,—,tempo,duelliste-cell-tempest.png,"lean duelist in a stolen matte black exosuit lunging across a rain-flooded intersection at night, white-blue arc light trailing his gauntlet, red capacitor seams blazing down his spine, neon reflections shattering under his splash, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, lightning storm, text, watermark"
K12,recruteur-double,À générer,KAIROS,Rare,Traveler,4,,,,,,,,Non,—,valeur / info,recruteur-double.png,"charming recruiter guiding a nervous candidate down a bright corridor, arm around his shoulder, practiced warm smile, a red pen spinning in his free hand behind his back, morning light, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, text, watermark"
K13,colosse-de-laile-grise,À générer,KAIROS,Rare,Traveler,5,,,,,,,,Non,Aile Grise,menace,colosse-de-laile-grise.png,"huge enforcer in a reinforced matte black exosuit shouldering through a concrete wall, rebar bending around him, dust exploding into shafts of basement sunlight, red compression bands glowing on his knuckles, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, hulk, giant robot, text, watermark"
K14,brouillage,À générer,KAIROS,Rare,Protocole,2,,,,,,,,Non,—,anti-Synchro,brouillage.png,"a traveler stumbling mid-sprint as his blue suit seams shatter into static, a translucent red wave passing through the frame, his momentum carrying him toward the ground, dusk street, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy magic, text, watermark"
K15,extraction-forcee,À générer,KAIROS,Rare,Protocole,4,,,,,,,,Non,—,removal lourd,extraction-forcee.png,"man yanked backward off his feet into a tear of red-black static above a sunlit historical market street, fruit scattering from a knocked stall, bystanders frozen unaware, warm bronze daylight against the cold red tear, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no gore, text, watermark"
K16,pilleuse-depoques,À générer,KAIROS,Épique,Traveler,4,,,,,,,,Non,zones aveugles,voleur,pilleuse-depoques.png,"female kairos agent sprinting out of a bronze fog battlefield clutching a red-lit relic case, mud kicking from her boots, ghostly still silhouettes of the era watching motionless from the mist behind her, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, gore, text, watermark"
K17,interrogateur-du-drft,À générer,KAIROS,Épique,Traveler,5,,,,,,,,Non,—,contrôle,interrogateur-du-drft.png,"interrogator in an immaculate dark uniform circling an empty steel chair in a blinding white room, one gloved hand trailing along its back, his long shadow sweeping the floor, a single red recording light, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, text, watermark"
K18,porteur-cell-codex,À générer,KAIROS,Épique,Traveler,6,,,,,,,,Non,—,finisher,porteur-cell-codex.png,"kairos operative standing on a data-center rooftop at night, arms open as his drone swarm spirals upward into a towering red constellation column above the city, cyan server glow venting from the roof hatches, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
K19,le-moment-opportun,À générer,KAIROS,Épique,Protocole,5,,,,,,,,Non,Z-07 ?,swing,le-moment-opportun.png,"silhouette leaping through a monumental shattering clock face, shards of glass and time exploding outward frozen mid-burst, thin red light bleeding through every crack, darkness beyond, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy magic portal, text, watermark"
K20,akira-soma,Forgée,KAIROS,Légendaire,Traveler,7,4,6,Directeur du DRFT,À l'arrivée : prenez le contrôle d'un Traveler ennemi non-synchronisé coûtant 3 ou moins.,,,Je vois plus loin. J'ai donc le droit de choisir pour eux.,Oui,—,vol de masse,akira-soma.png,"distinguished japanese director descending a grand marble staircase amid an audience of standing shadowed figures applauding, only his warm too-perfect smile fully lit, red seal ring catching the chandelier light, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, villain sneer, text, watermark"
K21,la-comptable,À générer,KAIROS,Légendaire,Traveler,6,,,,,,,,Oui,—,build-around sacrifice,la-comptable.png,"austere woman standing calm at the center of a slow cyclone of ledger pages in a shadowed vault, red-stamped sheets orbiting her, one page pinched precisely between two fingers, a blade of warm light cutting the dust, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy magic, text, watermark"
K22,renji-kuroda,Forgée,KAIROS,Prismatique,Traveler,5,4,4,CELL Kuroda,Insaisissable tant qu'il n'a pas attaqué.,2,Désactivez un Traveler ennemi synchronisé : il perd son effet embrasé.,"Je suis vide, donc je suis libre.",Oui,—,signature (désactivation),renji-kuroda.png,"gaunt japanese man in a long black coat over a matte black exosuit lunging through a night blizzard, twin adaptive blades extended, red seams blazing through the snow, a dying blue CELL core crushed in his trailing hand, sodium lights haloing the storm, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, cape, text, watermark"
E01,gamin-des-ruelles,À générer,Les Époques,Standard,Époque,1,,,,,,,,Non,Z-01,early universel,gamin-des-ruelles.png,"street kid in patched wool clothes sprinting across the rooftops of 1888 paris with a stolen loaf, pigeons bursting around him, chimney smoke and morning fog below, warm gaslight amber against cool blue slate roofs, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no eiffel tower, modern elements, text, watermark"
E02,lavandiere-du-fleuve,À générer,Les Époques,Standard,Époque,2,,,,,,,,Non,Z-01,vanilla+,lavandiere-du-fleuve.png,"laundress in rough 19th century workclothes wading thigh-deep in a river at sunrise, hauling heavy linen against the current, spray catching the gold light, fog erasing the far shore, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no recognizable landmarks, modern elements, text, watermark"
E03,ronin-zone-aveugle,Forgée,Les Époques,Standard,Époque,3,4,3,,,,,Aucune chronique ne porte son nom. C'est pour ça qu'il peut encore se battre.,Non,Z-02,beater,ronin-zone-aveugle.png,"masterless samurai mid-draw on a mist-drowned wooden bridge, blade a silver arc, river spray and maple leaves swirling, warm lantern light against the cold teal fog, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no famous castle, modern elements, text, watermark"
E04,macon-du-col,À générer,Les Époques,Standard,Époque,3,,,,,,,,Non,Z-04,mur (Garde),macon-du-col.png,"weathered stonemason hauling a stone block up a creaking rope pulley in driving snow, scaffold swaying against the unfinished mountain chapel, his brazier sparking orange in the blue whiteout, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no modern elements, text, watermark"
E05,legionnaire-sans-stele,À générer,Les Époques,Standard,Époque,4,,,,,,,,Non,Z-03,beater,legionnaire-sans-stele.png,"lone roman legionary charging through giant ferns in a dark primeval forest, split shield raised, mud flying from his boots, pale bronze light breaking through the canopy onto his roaring face, fog swallowing everything behind, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no roman monument, modern elements, text, watermark"
E06,baleinier-du-pack,À générer,Les Époques,Standard,Époque,5,,,,,,,,Non,Z-05,gros vanilla,baleinier-du-pack.png,"harpooner in heavy oilskins hurling his harpoon from the icy bow as a wave bursts against the hull, spray freezing mid-air, teal icebergs and grey fog wall behind, his oil lantern swinging gold, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no modern ships, text, watermark"
E07,ours-des-steppes,À générer,Les Époques,Standard,Époque,6,,,,,,,,Non,Z-06,très gros,ours-des-steppes.png,"colossal prehistoric steppe bear charging toward the viewer through a blizzard, snow exploding from each stride, ice-crusted fur, pale gold dawn cutting through the blue storm, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no modern elements, text, watermark"
E08,poussiere-des-siecles,À générer,Les Époques,Standard,Protocole,2,,,,,,,,Non,—,trick,poussiere-des-siecles.png,"a bare hand dissolving into golden dust motes inside one blade of afternoon light, dark barn interior, the dust drifting upward like memory, league of legends splash art, highly detailed, cinematic lighting --no skeleton, gore, text, watermark"
E09,temoin-manquant,À générer,Les Époques,Standard,Protocole,3,,,,,,,,Non,—,protection,temoin-manquant.png,"crowded historical tavern in warm hearth light, every figure softly blurred in motion except one perfectly sharp empty chair, a still-steaming cup before it, league of legends splash art, highly detailed, cinematic lighting --no modern elements, text, watermark"
E10,messagere-aux-pieds-nus,À générer,Les Époques,Rare,Époque,2,,,,,,,,Non,—,early premium (Célérité),messagere-aux-pieds-nus.png,"barefoot messenger girl sprinting low through a narrow ancient market street before dawn, sealed letter clutched to her chest, dust and startled doves in her wake, violet sky over warm lantern awnings, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no modern elements, text, watermark"
E11,griot-sans-archive,À générer,Les Époques,Rare,Époque,4,,,,,,,,Non,—,valeur (Dernier souffle),griot-sans-archive.png,"old griot mid-tale at a night fire, arms sweeping wide as the rising sparks swirl into fleeting shapes of warriors and rivers above the flames, entranced listeners leaning in from the deep blue dark, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no modern elements, text, watermark"
E12,gardienne-du-col,À générer,Les Époques,Rare,Époque,6,,,,,,,,Non,Z-04,mur lourd (Garde),gardienne-du-col.png,"mountain woman warrior sweeping her long spear in a wide arc through the snowstorm at a narrow alpine pass, snow carving off the blade's path, furs whipping, warm watch-fire light against the blue whiteout, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, modern elements, text, watermark"
E13,zone-aveugle,À générer,Les Époques,Rare,Protocole,3,,,,,,,,Non,—,trick signature,zone-aveugle.png,"wide historical landscape whose center is simply unwritten, a soft pale void swallowing the middle of the scene, birds wheeling around the absence, warm bronze countryside fraying into blank nothing, league of legends splash art, highly detailed, cinematic lighting --no fantasy magic portal, modern elements, text, watermark"
E14,duelliste-du-pont,À générer,Les Époques,Épique,Époque,5,,,,,,,,Non,Z-02,menace,duelliste-du-pont.png,"lean swordsman sprinting across the planks of a mist-drowned bridge toward the viewer, scabbard flung aside spinning mid-air, blade low and trailing, cold steel mist parting around him, one warm lantern flare, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no famous landmark, modern elements, text, watermark"
E15,cuirasse-du-detroit,À générer,Les Époques,Épique,Époque,7,,,,,,,,Non,Z-05,finisher neutre,cuirasse-du-detroit.png,"early 1900s battleship bursting its rusted prow through a wall of sea fog toward the viewer, bow wave exploding, no flag, the fog visibly unwriting its stern into nothing, cold teal sea and warm rust, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no modern warships, text, watermark"
E16,larchiviste-oublie,À générer,Les Époques,Légendaire,Époque,8,,,,,,,,Oui,Z-07,colosse ultime,larchiviste-oublie.png,"ageless hooded figure looking up from an open blank book as thousands of books spiral upward around him into a vortex of golden dust and violet fog, impossible curved shelves dissolving into the sky, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no wizard fantasy, glowing runes, modern elements, text, watermark"
